Accepted.binomial,Accepted.sub1,Accepted.sub2,Accepted.Rank,Family,Extinction.Risk,Locality,Climate,Life.form.orig,Life.form.edited,List,Synonym.binomial,,,,,,,,,,,,
Brassica_procumbens,na,na,species,Brassicaceae,VU,ITA,S,Cham.,WP,Rediscovered,Brassica_procumbens,,,,,,,,,,,,
Brassica_procumbens,na,na,species,Brassicaceae,VU,ALG,S,Cham.,WP,Rediscovered,Brassica_procumbens,,,,,,,,,,,,
Brassica_procumbens,na,na,species,Brassicaceae,VU,TUN,S,Cham.,WP,Rediscovered,Brassica_procumbens,,,,,,,,,,,,
Brickellia_chenopodina,na,na,species,Asteraceae,EX,NWM,S,Phanerophyte,WP,Extinct,Brickellia_chenopodina,,,,,,,,,,,,
Bromus_brachystachys,na,na,species,Poaceae,VU,GER,G,Ther.,A,Rediscovered,Bromus_brachystachys,,,,,,,,,,,,
Bromus_brachystachys,na,na,species,Poaceae,VU,PAL,G,Ther.,A,Rediscovered,Bromus_brachystachys,,,,,,,,,,,,
Bromus_bromoideus,na,na,species,Poaceae,EW,BGM,G,Ther.,A,Extinct,Bromus_bromoideus,,,,,,,,,,,,
Bromus_bromoideus,na,na,species,Poaceae,EW,GER,G,Ther.,A,Extinct,Bromus_bromoideus,,,,,,,,,,,,
Bromus_bromoideus,na,na,species,Poaceae,EW,NET,G,Ther.,A,Extinct,Bromus_bromoideus,,,,,,,,,,,,
Bromus_bromoideus,na,na,species,Poaceae,EW,FRA,G,Ther.,A,Extinct,Bromus_bromoideus,,,,,,,,,,,,
Bromus_interruptus,na,na,species,Poaceae,EW,GRB,G,Ther.,A,Extinct,Bromus_interruptus,,,,,,,,,,,,
Buchanania_mangoides,na,na,species,Anacardiaceae,DD,QLD,T,Phan.,WP,Rediscovered,Buchanania_mangoides,,,,,,,,,,,,
Bulbophyllum_herbula,na,na,species,Orchidaceae,EW,REU,WT,Pseudobulb_cham.,WP,Extinct,Bulbophyllum_herbula,,,,,,,,,,,,
Bulbophyllum_janus,na,na,species,Orchidaceae,EX,SUM,WT,Pseudobulb_epiphyte,E,Extinct,Bulbophyllum_janus,,,,,,,,,,,,
Bulbophyllum_pusillum,na,na,species,Orchidaceae,EX,MAU,WT,Pseudobulb_epiphyte,E,Extinct,Bulbophyllum_pusillum,,,,,,,,,,,,
Bulbostylis_neglecta,na,na,species,Cyperaceae,CR,STH,T,Ther.,A,Rediscovered,Bulbostylis_neglecta,,,,,,,,,,,,
